IBXX - Carteira do Dia 02/03/22;;;;
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;199.733.824;0,290
ALPA4;ALPARGATAS;PN      N1;167.963.777;0,186
ABEV3;AMBEV S/A;ON;4.359.908.680;2,845
AMER3;AMERICANAS;ON      NM;618.957.122;0,810
ASAI3;ASSAI;ON      NM;794.310.097;0,459
AZUL4;AZUL;PN      N2;327.741.172;0,356
B3SA3;B3;ON      NM;6.065.856.318;3,796
BIDI11;BANCO INTER;UNT     N2;577.852.934;0,501
BPAN4;BANCO PAN;PN      N1;341.124.068;0,147
BBSE3;BBSEGURIDADE;ON      NM;671.629.692;0,664
BRML3;BR MALLS PAR;ON      NM;834.170.584;0,337
BBDC3;BRADESCO;ON      N1;1.378.842.305;1,010
BBDC4;BRADESCO;PN      N1;4.691.427.537;4,098
BRAP4;BRADESPAR;PN      N1;251.414.753;0,325
BBAS3;BRASIL;ON      NM;1.420.530.937;2,147
BRKM5;BRASKEM;PNA     N1;264.642.296;0,542
BRFS3;BRF SA;ON      NM;1.081.759.800;0,776
BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;1,435
CRFB3;CARREFOUR BR;ON      NM;410.988.561;0,336
CCRO3;CCR SA;ON      NM;1.115.693.556;0,563
CMIG4;CEMIG;PN      N1;1.114.214.662;0,612
CESP6;CESP;PNB     N1;182.017.689;0,178
CIEL3;CIELO;ON      NM;1.144.359.228;0,126
COGN3;COGNA ON;ON      NM;1.828.106.676;0,177
CPLE6;COPEL;PNB     N2;1.563.365.506;0,465
CSAN3;COSAN;ON      NM;1.169.237.744;1,060
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,244
CMIN3;CSNMINERACAO;ON      N2;1.120.593.365;0,298
CVCB3;CVC BRASIL;ON      NM;224.231.429;0,121
CYRE3;CYRELA REALT;ON      NM;281.609.283;0,184
DXCO3;DEXCO;ON      NM;295.712.871;0,175
ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,095
ELET3;ELETROBRAS;ON      N1;358.028.908;0,534
ELET6;ELETROBRAS;PNB     N1;242.987.127;0,359
EMBR3;EMBRAER;ON      NM;734.558.205;0,555
ENBR3;ENERGIAS BR;ON      NM;230.931.405;0,205
ENGI11;ENERGISA;UNT     N2;248.477.689;0,470
ENEV3;ENEVA;ON      NM;1.261.568.398;0,729
EGIE3;ENGIE BRASIL;ON  ED  NM;255.217.329;0,437
EQTL3;EQUATORIAL;ON      NM;1.128.906.085;1,239
EZTC3;EZTEC;ON      NM;101.618.236;0,077
FLRY3;FLEURY;ON      NM;303.425.821;0,234
GGBR4;GERDAU;PN      N1;1.097.534.498;1,200
GOAU4;GERDAU MET;PN      N1;698.275.321;0,312
GOLL4;GOL;PN      N2;167.095.214;0,124
NTCO3;GRUPO NATURA;ON      NM;844.296.775;0,839
SOMA3;GRUPO SOMA;ON      NM;489.194.623;0,273
HAPV3;HAPVIDA;ON      NM;4.411.767.198;2,297
HYPE3;HYPERA;ON      NM;410.253.528;0,590
IGTI11;IGUATEMI S.A;UNT     N1;169.637.560;0,141
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,165
ITSA4;ITAUSA;PN      N1;4.736.048.447;2,037
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.780.002.924;5,223
JBSS3;JBS;ON      NM;1.290.736.673;1,989
KLBN11;KLABIN S/A;UNT     N2;812.994.397;0,810
LIGT3;LIGHT S/A;ON      NM;372.555.324;0,158
RENT3;LOCALIZA;ON      NM;593.944.309;1,467
LCAM3;LOCAMERICA;ON      NM;324.522.975;0,352
LWSA3;LOCAWEB;ON      NM;431.783.548;0,185
AMAR3;LOJAS MARISA;ON      NM;146.302.201;0,019
LREN3;LOJAS RENNER;ON      NM;979.060.006;1,064
MGLU3;MAGAZ LUIZA;ON      NM;2.896.234.638;0,747
MRFG3;MARFRIG;ON      NM;348.234.011;0,331
CASH3;MELIUZ;ON      NM;548.153.725;0,056
BEEF3;MINERVA;ON      NM;254.073.639;0,118
MOVI3;MOVIDA;ON      NM;133.440.549;0,094
MRVE3;MRV;ON      NM;294.643.879;0,151
MULT3;MULTIPLAN;ON      N2;272.718.548;0,259
PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0,157
PETR3;PETROBRAS;ON      N2;3.684.060.179;5,752
PETR4;PETROBRAS;PN      N2;4.566.442.248;6,665
PRIO3;PETRORIO;ON      NM;839.159.130;0,930
PETZ3;PETZ;ON      NM;301.553.522;0,226
PSSA3;PORTO SEGURO;ON      NM;181.864.206;0,164
POSI3;POSITIVO TEC;ON      NM;78.053.723;0,027
QUAL3;QUALICORP;ON      NM;277.027.077;0,153
RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,074
RDOR3;REDE D OR;ON      NM;929.901.433;2,036
RAIL3;RUMO S.A.;ON      NM;1.216.056.103;0,809
SBSP3;SABESP;ON      NM;340.001.934;0,604
SANB11;SANTANDER BR;UNT;362.703.399;0,482
STBP3;SANTOS BRP;ON      NM;858.126.173;0,239
CSNA3;SID NACIONAL;ON;642.398.790;0,692
SLCE3;SLC AGRICOLA;ON      NM;97.946.966;0,185
SULA11;SUL AMERICA;UNT     N2;284.771.028;0,430
SUZB3;SUZANO S.A.;ON      NM;726.779.281;1,718
TAEE11;TAESA;UNT     N2;218.568.234;0,370
VIVT3;TELEF BRASIL;ON  EJ;433.476.952;0,932
TIMS3;TIM;ON      NM;808.619.532;0,472
TOTS3;TOTVS;ON      NM;519.851.955;0,738
UGPA3;ULTRAPAR;ON      NM;1.085.952.374;0,690
USIM5;USIMINAS;PNA     N1;514.680.651;0,325
VALE3;VALE;ON      NM;4.891.940.489;19,378
VIIA3;VIA;ON      NM;1.596.295.753;0,260
VBBR3;VIBRA;ON      NM;1.131.883.365;1,146
WEGE3;WEG;ON  ED  NM;1.484.859.030;1,874
YDUQ3;YDUQS PART;ON      NM;300.833.122;0,274
Quantidade Teórica Total;;;99.552.963.186;100,000
Redutor;;;48.011.749,24586667;